Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
151,10,7,96.39,HIGH,192,288,224,320,32,32,6149,9228,7173,10252,1024,1024,  45,1.00,1.00,0.7809
152,10,8,84.08,HIGH,224,288,256,320,32,32,7173,9228,8197,10252,1024,1024,  59,1.00,1.00,0.7435
153,10,9,79.79,MEDIUM,256,288,288,320,32,32,8198,9228,9222,10252,1024,1024,  43,1.00,0.20,0.5906
154,10,10,48.93,MEDIUM,288,288,320,320,32,32,9223,9228,10247,10252,1024,1024, 145,1.00,0.20,0.4486
155,10,11,0.00,NONE,320,288,352,320,32,32,10248,9228,11272,10252,1024,1024,   0,0.16,0.00,0.0000
156,10,12,0.00,NONE,352,288,384,320,32,32,11272,9228,12296,10252,1024,1024,   0,0.16,0.00,0.0000
157,10,13,0.00,NONE,384,288,416,320,32,32,12297,9228,13321,10252,1024,1024,   0,0.16,0.00,0.0000
158,10,14,0.00,NONE,416,288,448,320,32,32,13322,9228,14346,10252,1024,1024,   0,0.16,0.00,0.0000
159,10,15,0.00,NONE,448,288,480,320,32,32,14347,9228,15371,10252,1024,1024,   0,0.16,0.00,0.0000
160,10,16,0.00,NONE,480,288,499,320,19,32,15372,9228,15980,10252,608,1024,   0,0.16,0.00,0.0000
161,11,1,0.00,NONE,0,320,32,352,32,32,0,10253,1024,11277,1024,1024,   0,0.16,0.00,0.0000
